,0,1,2,,,0,1,2
ALKBH6,0,0,1,,HOP62_LUNG,0,1,0
ALOX12,0,0,1,,HS729_SOFT_TISSUE,0,1,0
ALOX12B,0,0,1,,HS766T_PANCREAS,0,1,0
ALPK2,0,0,1,,HSC2_UPPER_AERODIGESTIVE_TRACT,0,1,0
C2CD6,0,0,1,,HT1080_SOFT_TISSUE,0,1,0
ALX1,0,0,1,,HT115_LARGE_INTESTINE,0,1,0
ALX3,0,0,1,,HT55_LARGE_INTESTINE,0,1,0
ALYREF,0,0,1,,INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,1,0
AMACR,0,0,1,,ISTMES1_PLEURA,0,1,0
AMBN,0,0,1,,JHH1_LIVER,0,1,0
AMBRA1,0,0,1,,JHH5_LIVER,0,1,0
AMD1,0,0,1,,JHOC5_OVARY,0,1,0
AMDHD2,0,0,1,,JHOM1_OVARY,0,1,0
AMER3,0,0,1,,JHOS2_OVARY,0,1,0
AMFR,0,0,1,,K029AX_SKIN,0,1,0
JAML,0,0,1,,KALS1_CENTRAL_NERVOUS_SYSTEM,0,1,0
AMIGO1,0,0,1,,KLE_ENDOMETRIUM,0,1,0
AMIGO3,0,0,1,,KM12_LARGE_INTESTINE,0,1,0
AMMECR1L,0,0,1,,KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,1,0
AMOTL2,0,0,1,,KNS81_CENTRAL_NERVOUS_SYSTEM,0,1,0
AMPD2,0,0,1,,KP2_PANCREAS,0,1,0
AMPD3,0,0,1,,KYSE450_OESOPHAGUS,0,1,0
AMPH,0,0,1,,KYSE510_OESOPHAGUS,0,1,0
AMT,0,0,1,,KYSE70_OESOPHAGUS,0,1,0
AMTN,0,0,1,,L82_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,1,0
ANAPC16,0,0,1,,LK2_LUNG,0,1,0
ANAPC2,0,0,1,,LN18_CENTRAL_NERVOUS_SYSTEM,0,1,0
ANAPC7,0,0,1,,LN235_CENTRAL_NERVOUS_SYSTEM,0,1,0
ANGPTL3,0,0,1,,LNZ308_CENTRAL_NERVOUS_SYSTEM,0,1,0
ANGPTL4,0,0,1,,LOVO_LARGE_INTESTINE,0,1,0
ANGPTL6,0,0,1,,LS1034_LARGE_INTESTINE,0,1,0
ANGPTL7,0,0,1,,LS180_LARGE_INTESTINE,0,1,0
ANK2,0,0,1,,LXF289_LUNG,0,1,0
ANKFN1,0,0,1,,M059K_CENTRAL_NERVOUS_SYSTEM,0,1,0
ANKFY1,0,0,1,,MDAMB157_BREAST,0,1,0
ANKH,0,0,1,,MDAMB468_BREAST,0,1,0
ANKIB1,0,0,1,,MFE319_ENDOMETRIUM,0,1,0
ANKMY1,0,0,1,,MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,1,0
ANKRA2,0,0,1,,MORCPR_LUNG,0,1,0
ANKRD1,0,0,1,,NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,1,0
ANKRD11,0,0,1,,NCIH1437_LUNG,0,1,0
ANKRD13C,0,0,1,,NCIH1573_LUNG,0,1,0
ANKRD16,0,0,1,,NCIH1581_LUNG,0,1,0
ANKRD17,0,0,1,,NCIH1944_LUNG,0,1,0
ANKRD18A,0,0,1,,NCIH2087_LUNG,0,1,0
ANKRD22,0,0,1,,NCIH2170_LUNG,0,1,0
ANKRD23,0,0,1,,NCIH2452_PLEURA,0,1,0
ANKRD30A,0,0,1,,NCIH322_LUNG,0,1,0
ANKRD34B,0,0,1,,NCIH441_LUNG,0,1,0
ANKRD36,0,0,1,,NCIH520_LUNG,0,1,0
ANKRD37,0,0,1,,NCIH716_LARGE_INTESTINE,0,1,0
ANKRD40,0,0,1,,NCIH838_LUNG,0,1,0
ANKRD42,0,0,1,,NCIN87_STOMACH,0,1,0
ANKRD46,0,0,1,,NUGC3_STOMACH,0,1,0
ANKRD49,0,0,1,,OUMS23_LARGE_INTESTINE,0,1,0
ANKRD53,0,0,1,,OV7_OVARY,0,1,0
ANKRD54,0,0,1,,OVCAR8_OVARY,0,1,0
ANKRD55,0,0,1,,OVISE_OVARY,0,1,0
ANKRD65,0,0,1,,OVK18_OVARY,0,1,0
ANKRD9,0,0,1,,OVMANA_OVARY,0,1,0
ANKS3,0,0,1,,OVTOKO_OVARY,0,1,0
ANO1,0,0,1,,PANC0203_PANCREAS,0,1,0
ANO4,0,0,1,,PANC0403_PANCREAS,0,1,0
ANP32D,0,0,1,,PEDS005TPFAD_KIDNEY,0,1,0
ANP32E,0,0,1,,PK45H_PANCREAS,0,1,0
ANXA1,0,0,1,,PLCPRF5_LIVER,0,1,0
ANXA11,0,0,1,,RD_SOFT_TISSUE,0,1,0
ANXA6,0,0,1,,RPMI7951_SKIN,0,1,0
ANXA8,0,0,1,,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,1,0
ANXA9,0,0,1,,RT112_URINARY_TRACT,0,1,0
AOC2,0,0,1,,SAOS2_BONE,0,1,0
AOX1,0,0,1,,SF767_CENTRAL_NERVOUS_SYSTEM,0,1,0
AP1G1,0,0,1,,SIHA_CERVIX,0,1,0
AP1G2,0,0,1,,SKBR3_BREAST,0,1,0
AP1M2,0,0,1,,SKNDZ_AUTONOMIC_GANGLIA,0,1,0
AP1S1,0,0,1,,SKNMC_BONE,0,1,0
AP1S3,0,0,1,,SLR26_KIDNEY,0,1,0
AP3B2,0,0,1,,SNU182_LIVER,0,1,0
AP3S1,0,0,1,,SNU213_PANCREAS,0,1,0
AP3S2,0,0,1,,SNU349_KIDNEY,0,1,0
AP4B1,0,0,1,,SNU398_LIVER,0,1,0
AP4E1,0,0,1,,SNU410_PANCREAS,0,1,0
AP4M1,0,0,1,,SNU503_LARGE_INTESTINE,0,1,0
AP5M1,0,0,1,,SNU685_ENDOMETRIUM,0,1,0
APBA3,0,0,1,,SNU840_OVARY,0,1,0
APBB1,0,0,1,,SUIT2_PANCREAS,0,1,0
APBB2,0,0,1,,SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,1,0
APCS,0,0,1,,SW982_SOFT_TISSUE,0,1,0
APH1B,0,0,1,,SYO1_SOFT_TISSUE,0,1,0
APMAP,0,0,1,,T3M4_PANCREAS,0,1,0
APOA1,0,0,1,,T84_LARGE_INTESTINE,0,1,0
APOBEC3D,0,0,1,,TC106_BONE,0,1,0
APOBEC3G,0,0,1,,TC138_BONE,0,1,0
APOBEC3H,0,0,1,,TCCPAN2_PANCREAS,0,1,0
APOC3,0,0,1,,TE4_OESOPHAGUS,0,1,0
APOF,0,0,1,,TE8_OESOPHAGUS,0,1,0
APOL2,0,0,1,,U118MG_CENTRAL_NERVOUS_SYSTEM,0,1,0
APOL3,0,0,1,,U178_CENTRAL_NERVOUS_SYSTEM,0,1,0
APPL1,0,0,1,,UACC62_SKIN,0,1,0
APTX,0,0,1,,UMUC1_URINARY_TRACT,0,1,0
AQP10,0,0,1,,UOK101_KIDNEY,0,1,0
AQP2,0,0,1,,UW228_CENTRAL_NERVOUS_SYSTEM,0,1,0
AQP5,0,0,1,,VMRCRCW_KIDNEY,0,1,0
AQP6,0,0,1,,WM983B_SKIN,0,1,0
AQP7,0,0,1,,YD38_UPPER_AERODIGESTIVE_TRACT,0,1,0
AQP8,0,0,1,,ZR751_BREAST,0,1,0
ARAP3,0,0,1,,143B_BONE,1,0,0
ARCN1,0,0,1,,253J_URINARY_TRACT,1,0,0
AREG,0,0,1,,59M_OVARY,1,0,0
AREL1,0,0,1,,786O_KIDNEY,1,0,0
ARFGAP1,0,0,1,,A2058_SKIN,1,0,0
ARFGEF1,0,0,1,,A2780_OVARY,1,0,0
ARFRP1,0,0,1,,ASPC1_PANCREAS,1,0,0
ARGFX,0,0,1,,AU565_BREAST,1,0,0
ARHGAP10,0,0,1,,BFTC905_URINARY_TRACT,1,0,0
ARHGAP11A,0,0,1,,BFTC909_KIDNEY,1,0,0
ARHGAP12,0,0,1,,BHY_UPPER_AERODIGESTIVE_TRACT,1,0,0
ARHGAP17,0,0,1,,BIN67_OVARY,1,0,0
ARHGAP21,0,0,1,,CAL78_BONE,1,0,0
ARHGAP23,0,0,1,,CALU6_LUNG,1,0,0
ARHGAP28,0,0,1,,CAMA1_BREAST,1,0,0
ARHGAP35,0,0,1,,CAOV3_OVARY,1,0,0
ARHGAP39,0,0,1,,CCK81_LARGE_INTESTINE,1,0,0
ARHGAP44,0,0,1,,CFPAC1_PANCREAS,1,0,0
ARHGAP8,0,0,1,,CHAGOK1_LUNG,1,0,0
ARHGAP9,0,0,1,,CHLA15_AUTONOMIC_GANGLIA,1,0,0
ARHGDIA,0,0,1,,CHP212_AUTONOMIC_GANGLIA,1,0,0
ARHGEF1,0,0,1,,CJM_SKIN,1,0,0
ARHGEF10,0,0,1,,CL40_LARGE_INTESTINE,1,0,0
ARHGEF17,0,0,1,,CME1_SOFT_TISSUE,1,0,0
ARHGEF19,0,0,1,,COLO201_LARGE_INTESTINE,1,0,0
ARHGEF3,0,0,1,,COLO679_SKIN,1,0,0
ARHGEF35,0,0,1,,CORL279_LUNG,1,0,0
ARHGEF39,0,0,1,,CORL47_LUNG,1,0,0
ARID1B,0,0,1,,COV362_OVARY,1,0,0
ARID3A,0,0,1,,D283MED_CENTRAL_NERVOUS_SYSTEM,1,0,0
ARID3C,0,0,1,,D425_CENTRAL_NERVOUS_SYSTEM,1,0,0
ARID5B,0,0,1,,D458_CENTRAL_NERVOUS_SYSTEM,1,0,0
ARIH1,0,0,1,,DAOY_CENTRAL_NERVOUS_SYSTEM,1,0,0
ARIH2OS,0,0,1,,DETROIT562_UPPER_AERODIGESTIVE_TRACT,1,0,0
ARL10,0,0,1,,DKMG_CENTRAL_NERVOUS_SYSTEM,1,0,0
ARL13B,0,0,1,,EN_ENDOMETRIUM,1,0,0
ARL17A,0,0,1,,EPLC272H_LUNG,1,0,0
ARL2BP,0,0,1,,ES2_OVARY,1,0,0
ARL6,0,0,1,,ESS1_ENDOMETRIUM,1,0,0
ARL8A,0,0,1,,F5_CENTRAL_NERVOUS_SYSTEM,1,0,0
ARL8B,0,0,1,,FADU_UPPER_AERODIGESTIVE_TRACT,1,0,0
ARL9,0,0,1,,GCT_SOFT_TISSUE,1,0,0
ARMC10,0,0,1,,GSS_STOMACH,1,0,0
ARMC12,0,0,1,,HARA_LUNG,1,0,0
ARMC3,0,0,1,,HCC1143_BREAST,1,0,0
ARMC6,0,0,1,,HCC1419_BREAST,1,0,0
ARMS2,0,0,1,,HCC1954_BREAST,1,0,0
ARNT,0,0,1,,HEC151_ENDOMETRIUM,1,0,0
ARNTL,0,0,1,,HEC1A_ENDOMETRIUM,1,0,0
ARPC1B,0,0,1,,HEC1B_ENDOMETRIUM,1,0,0
ARPC2,0,0,1,,HEC59_ENDOMETRIUM,1,0,0
ARPC3,0,0,1,,HGC27_STOMACH,1,0,0
ARRDC3,0,0,1,,HS578T_BREAST,1,0,0
ARRDC4,0,0,1,,HS695T_SKIN,1,0,0
ARSG,0,0,1,,HSC3_UPPER_AERODIGESTIVE_TRACT,1,0,0
ARSK,0,0,1,,HT1197_URINARY_TRACT,1,0,0
ARTN,0,0,1,,HT1376_URINARY_TRACT,1,0,0
ARV1,0,0,1,,HUH1_LIVER,1,0,0
ARVCF,0,0,1,,JHH7_LIVER,1,0,0
ASAH1,0,0,1,,JHOS4_OVARY,1,0,0
ASAH2,0,0,1,,JIMT1_BREAST,1,0,0
ASAP1,0,0,1,,JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1,0,0
ASB14,0,0,1,,JMSU1_URINARY_TRACT,1,0,0
ASB15,0,0,1,,JR_SOFT_TISSUE,1,0,0
ASB8,0,0,1,,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1,0,0
ASCL1,0,0,1,,KE39_STOMACH,1,0,0
ASIC5,0,0,1,,KELLY_AUTONOMIC_GANGLIA,1,0,0
ASIP,0,0,1,,KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1,0,0
ASNA1,0,0,1,,KMRC1_KIDNEY,1,0,0
ASNS,0,0,1,,KMRC20_KIDNEY,1,0,0
ASPA,0,0,1,,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1,0,0
ASPH,0,0,1,,KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1,0,0
ASRGL1,0,0,1,,KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1,0,0
ASS1,0,0,1,,KNS42_CENTRAL_NERVOUS_SYSTEM,1,0,0
ASTE1,0,0,1,,KP3_PANCREAS,1,0,0
ASTL,0,0,1,,KP4_PANCREAS,1,0,0
ASTN1,0,0,1,,KYSE30_OESOPHAGUS,1,0,0
ATAD1,0,0,1,,LI7_LIVER,1,0,0
ATAD5,0,0,1,,LMSU_STOMACH,1,0,0
ATAT1,0,0,1,,LN382_CENTRAL_NERVOUS_SYSTEM,1,0,0
